Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task,Owner,Status,Billable (Additional),Priority,Notes,Project Manager,SOW,Invoiced,Priority
1.20176E+15,2/3/22,2/3/22,2/3/22,Initial Theme_r0,Strategy,,,,11/17/21,Client View,,TEST Project Schedule,,"IOP, BW",,,,,,Deliverable,,Medium
1.20176E+15,2/3/22,2/3/22,2/3/22,Refined Theme_r1 ,Strategy,,,,12/2/21,Client View,,TEST Project Schedule,,"IOP, BW",,,,,,,,
1.20176E+15,2/3/22,2/3/22,2/3/22,Theme approved,Strategy,,,,12/8/21,Client View,,TEST Project Schedule,,"IOP, BW",,,,,,,,
1.20176E+15,2/3/22,2/3/22,2/3/22,Initial Simplified Content Outline,Strategy,,,,12/7/21,Client View,,TEST Project Schedule,,BW,,,,,,,,
1.20176E+15,2/3/22,2/3/22,2/3/22,Refined Content Outline_r1,Strategy,,,,12/14/21,Client View,,TEST Project Schedule,,BW,,,,,,,,
1.20176E+15,2/3/22,2/3/22,2/3/22,Content Outline approved,Strategy,,,,12/15/21,Client View,,TEST Project Schedule,,BW,,,,,,,,
1.20176E+15,2/3/22,2/3/22,2/3/22,Pagination,Strategy,,,,1/26/22,Client View,,TEST Project Schedule,,"IOP, BW",,,,,,,,
1.20176E+15,2/3/22,2/3/22,2/3/22,Initial Design Concept design_r0 (initial design directions),PDF Report Design,,,,12/15/21,Client View,,TEST Project Schedule,,IOP,,,,,,Deliverable,,High
1.20176E+15,2/3/22,2/3/22,2/3/22,Refined design_r1,PDF Report Design,,,,1/5/22,Client View,,TEST Project Schedule,,IOP,,,,,,Deliverable,,Medium
1.20176E+15,2/3/22,2/3/22,2/3/22,**Additional cover options (OOS but NOT BILLABLE),PDF Report Design,,,,1/12/22,Client View,,TEST Project Schedule,,IOP,,,,,,,,
1.20176E+15,2/3/22,2/3/22,2/3/22,**Revised design (OOS but NOT BILLABLE),PDF Report Design,,,,1/17/22,Client View,,TEST Project Schedule,,IOP,,,,,,,,
